model_name,k_shot,seed,is_bn_backbone,bn_drift_affected,resume_anomaly,resume_anomaly_desc,ft_acc,ft_macro_f1,elapsed_seconds
mobilenet_v3_large,kshot_10,seed_456,True,True,False,,45.26690391459074,0.40840793288514277,55.6627037525177
mobilenet_v3_large,kshot_10,seed_789,True,True,False,,46.903914590747334,0.4324228397310726,55.453131914138794
mobilenet_v3_large,kshot_10,seed_999,True,True,False,,45.83629893238434,0.4222101252426936,55.4866304397583
mobilenet_v3_large,kshot_3,seed_123,True,True,False,,21.322657176749704,0.18630679707106854,29.9918475151062
mobilenet_v3_large,kshot_3,seed_42,True,True,False,,23.04270462633452,0.20158804820907775,29.82648205757141
mobilenet_v3_large,kshot_3,seed_456,True,True,False,,22.212336892052196,0.1951246116930406,30.15760898590088
mobilenet_v3_large,kshot_3,seed_789,True,True,False,,23.576512455516013,0.20445799039005025,29.85627293586731
mobilenet_v3_large,kshot_3,seed_999,True,True,False,,22.805456702253853,0.19439471089258434,30.004650354385376
mobilenet_v3_large,kshot_5,seed_123,True,True,False,,33.060498220640575,0.29859690962494684,37.33853316307068
mobilenet_v3_large,kshot_5,seed_42,True,True,False,,32.59786476868328,0.293344118201259,58.008054971694946
mobilenet_v3_large,kshot_5,seed_456,True,True,False,,32.77580071174378,0.29650573260637664,37.73241639137268
mobilenet_v3_large,kshot_5,seed_789,True,True,False,,33.594306049822066,0.3033484501625956,38.36423206329346
mobilenet_v3_large,kshot_5,seed_999,True,True,False,,32.24199288256228,0.2896439287173365,38.22211813926697
resnet101,kshot_1,seed_123,True,True,False,,10.930350788002034,0.1009636816678036,50.93189525604248
resnet101,kshot_1,seed_42,True,True,False,,10.167768174885612,0.09174531361087554,54.33310103416443
resnet101,kshot_1,seed_456,True,True,False,,11.006609049313676,0.0994225948537099,47.71119165420532
resnet101,kshot_1,seed_789,True,True,False,,12.17590238942552,0.10863898644946836,44.89580702781677
resnet101,kshot_1,seed_999,True,True,False,,9.735638027452973,0.08871145390465476,47.60480523109436
resnet101,kshot_10,seed_123,True,True,False,,51.387900355871885,0.4877345555174075,169.10033202171326
resnet101,kshot_10,seed_42,True,True,False,,54.51957295373665,0.5150924967362989,187.27284479141235
resnet101,kshot_10,seed_456,True,True,False,,55.729537366548044,0.5322548229082279,168.644455909729
resnet101,kshot_10,seed_789,True,True,False,,52.59786476868328,0.49697210896543226,169.1807107925415
resnet101,kshot_10,seed_999,True,True,False,,51.74377224199288,0.49366104911178343,169.23812413215637
resnet101,kshot_3,seed_123,True,True,False,,25.94899169632266,0.23836220516602163,74.84880328178406
resnet101,kshot_3,seed_42,True,True,False,,26.156583629893237,0.23886856800654244,77.1343629360199
resnet101,kshot_3,seed_456,True,True,False,,26.097271648873072,0.2404084570620809,77.46489334106445
resnet101,kshot_3,seed_789,True,True,False,,26.690391459074732,0.2396274799582649,77.79577922821045
resnet101,kshot_3,seed_999,True,True,False,,24.58481613285884,0.22444471606154928,78.90314316749573
resnet101,kshot_5,seed_123,True,True,False,,37.22419928825623,0.34116681957609135,104.70227193832397
resnet101,kshot_5,seed_42,True,True,False,,38.967971530249116,0.3615901349461052,104.92706227302551
resnet101,kshot_5,seed_456,True,True,False,,37.25978647686833,0.35019011677003153,102.28699231147766
resnet101,kshot_5,seed_789,True,True,False,,36.93950177935943,0.3376944892625508,101.96831774711609
resnet101,kshot_5,seed_999,True,True,False,,37.61565836298932,0.34828746132192423,101.95263743400574
resnet18,kshot_1,seed_123,True,True,False,,7.5495678698525674,0.05833249652292355,22.364668130874634
resnet18,kshot_1,seed_42,True,True,False,,6.126080325368582,0.04900279942694258,21.86131262779236
resnet18,kshot_1,seed_456,True,True,False,,7.447890188103711,0.057915065111810916,22.1924467086792
resnet18,kshot_1,seed_789,True,True,False,,8.13421453990849,0.072467856095464,24.371257066726685
resnet18,kshot_1,seed_999,True,True,False,,7.727503812913065,0.05890752105136472,22.04502582550049
resnet18,kshot_10,seed_123,True,True,False,,41.779359430604984,0.3681394184406419,55.073580741882324
resnet18,kshot_10,seed_42,True,True,False,,40.711743772241995,0.360281983493247,55.60394096374512
resnet18,kshot_10,seed_456,True,True,False,,43.77224199288256,0.393113999366152,55.760793924331665
resnet18,kshot_10,seed_789,True,True,False,,42.84697508896797,0.3766213365886571,54.578909158706665
resnet18,kshot_10,seed_999,True,True,False,,43.41637010676156,0.3884143739996704,55.55900549888611
resnet18,kshot_3,seed_123,True,True,False,,19.276393831553975,0.15514978419014558,30.082014799118042
resnet18,kshot_3,seed_42,True,True,False,,17.88256227758007,0.14288279961555803,30.616727828979492
resnet18,kshot_3,seed_456,True,True,False,,19.958481613285883,0.16861020420520098,30.615590810775757
resnet18,kshot_3,seed_789,True,True,False,,19.06880189798339,0.15053406645178843,32.21527433395386
resnet18,kshot_3,seed_999,True,True,False,,19.988137603795966,0.16220771122752808,30.44847321510315
resnet18,kshot_5,seed_123,True,True,False,,27.971530249110323,0.23257856226556894,37.93363976478577
resnet18,kshot_5,seed_42,True,True,False,,25.444839857651246,0.21057429365353286,37.3941867351532
resnet18,kshot_5,seed_456,True,True,False,,29.857651245551605,0.25517657095310115,38.1471152305603
resnet18,kshot_5,seed_789,True,True,False,,29.501779359430607,0.24757422954421077,38.115328311920166
resnet18,kshot_5,seed_999,True,True,False,,27.651245551601424,0.23052474989176963,39.33708381652832
resnet50,kshot_1,seed_123,True,True,False,,8.94763599389934,0.08078985954693815,34.05591654777527
resnet50,kshot_1,seed_42,True,True,False,,9.659379766141333,0.07827900960873113,36.83821129798889
resnet50,kshot_1,seed_456,True,True,False,,9.023894255210982,0.07767373072858438,37.96318554878235
resnet50,kshot_1,seed_789,True,True,False,,10.396542958820538,0.09271472300478698,37.52102184295654
resnet50,kshot_1,seed_999,True,True,False,,8.337569903406203,0.0767762022805435,37.47612929344177
resnet50,kshot_10,seed_123,True,True,False,,43.41637010676156,0.3905291817706332,118.00676679611206
resnet50,kshot_10,seed_42,True,True,False,,47.686832740213525,0.43583360008081057,117.85598516464233
resnet50,kshot_10,seed_456,True,True,False,,48.39857651245551,0.44281688963541704,118.19119167327881
resnet50,kshot_10,seed_789,True,True,False,,47.25978647686833,0.43626314940064936,118.4971489906311
resnet50,kshot_10,seed_999,True,True,False,,45.693950177935946,0.4210743434237494,117.58379554748535
resnet50,kshot_3,seed_123,True,True,False,,21.678529062870698,0.19666578985796587,56.336426973342896
resnet50,kshot_3,seed_42,True,True,False,,20.640569395017792,0.18402964382458592,53.50883889198303
resnet50,kshot_3,seed_456,True,True,False,,21.70818505338078,0.18855112120887302,55.537357568740845
resnet50,kshot_3,seed_789,True,True,False,,22.716488730723604,0.20259823936833898,55.44374394416809
resnet50,kshot_3,seed_999,True,True,False,,19.958481613285883,0.1682636761441915,55.72043180465698
resnet50,kshot_5,seed_123,True,True,False,,33.16725978647687,0.29501869346015536,74.40981078147888
resnet50,kshot_5,seed_42,True,True,False,,32.704626334519574,0.2982716073286579,73.59327435493469
resnet50,kshot_5,seed_456,True,True,False,,32.34875444839857,0.2960526618001294,75.19611287117004
resnet50,kshot_5,seed_789,True,True,False,,32.84697508896797,0.2889694671554618,73.89564752578735
resnet50,kshot_5,seed_999,True,True,False,,30.533807829181498,0.2679800495734294,75.61448884010315
swin_t,kshot_1,seed_123,False,False,False,,17.28520589730554,0.16614990612521613,45.696317195892334
swin_t,kshot_1,seed_42,False,False,False,,18.429079816980174,0.17423429440473076,42.294761657714844
swin_t,kshot_1,seed_456,False,False,False,,17.641077783426535,0.16125205947584362,43.1873574256897
swin_t,kshot_1,seed_789,False,False,False,,17.132689374682258,0.15506482653855272,45.35123038291931
swin_t,kshot_1,seed_999,False,False,False,,18.251143873919677,0.16411674360173636,42.73665976524353
swin_t,kshot_10,seed_123,False,False,False,,62.77580071174377,0.6065068672260288,160.88815999031067
swin_t,kshot_10,seed_42,False,False,False,,63.41637010676157,0.6118507945626375,161.48816800117493
swin_t,kshot_10,seed_456,False,False,False,,63.70106761565836,0.6088362918012665,160.77831888198853
swin_t,kshot_10,seed_789,False,False,False,,62.064056939501775,0.6016953306234181,160.9794635772705
swin_t,kshot_10,seed_999,False,False,False,,60.213523131672595,0.5821915490128189,161.15749168395996
swin_t,kshot_3,seed_123,False,False,False,,38.226571767497035,0.3595197084608288,71.69635915756226
swin_t,kshot_3,seed_42,False,False,False,,38.997627520759195,0.3586573753352872,70.37215948104858
swin_t,kshot_3,seed_456,False,False,False,,37.72241992882562,0.35239190666893894,69.85499787330627
swin_t,kshot_3,seed_789,False,False,False,,37.90035587188612,0.350927464210771,71.2040946483612
swin_t,kshot_3,seed_999,False,False,False,,38.4638196915777,0.35554388056627734,72.63810324668884
swin_t,kshot_5,seed_123,False,False,False,,49.039145907473305,0.46905366723852904,96.97135972976685
swin_t,kshot_5,seed_42,False,False,False,,48.14946619217082,0.45646236680341107,97.66231179237366
swin_t,kshot_5,seed_456,False,False,False,,50.0,0.4763912119831718,97.01971244812012
swin_t,kshot_5,seed_789,False,False,False,,50.88967971530249,0.48606319043639457,96.65669250488281
swin_t,kshot_5,seed_999,False,False,False,,49.644128113879006,0.46878919920612705,96.14933919906616
vit_b_16,kshot_1,seed_123,False,False,False,,22.114895780376205,0.2059950098546291,70.12048268318176
vit_b_16,kshot_1,seed_42,False,False,False,,21.733604473817998,0.20690992396084226,67.32500720024109
vit_b_16,kshot_1,seed_456,False,False,False,,24.758515505846468,0.22875392343546475,74.79576754570007
vit_b_16,kshot_1,seed_789,False,False,False,,22.394509405185563,0.2152149870464566,67.96275758743286
vit_b_16,kshot_1,seed_999,False,False,False,,21.479410269445857,0.19854498084489755,74.01333951950073
vit_b_16,kshot_10,seed_123,False,False,False,,67.25978647686833,0.6539724758321543,288.60974287986755
vit_b_16,kshot_10,seed_42,False,False,False,,69.5373665480427,0.6719950815355882,289.3594560623169
vit_b_16,kshot_10,seed_456,False,False,False,,68.9679715302491,0.6699978451757812,288.1532258987427
vit_b_16,kshot_10,seed_789,False,False,False,,67.97153024911033,0.6601091567702412,291.36636424064636
vit_b_16,kshot_10,seed_999,False,False,False,,68.25622775800711,0.6621677452332565,289.3373951911926
vit_b_16,kshot_3,seed_123,False,False,False,,43.29774614472123,0.40363890895695304,123.70440363883972
vit_b_16,kshot_3,seed_42,False,False,False,,44.00948991696323,0.4094390348464955,124.92535519599915
vit_b_16,kshot_3,seed_456,False,False,False,,43.14946619217082,0.40390266796936847,120.0168137550354
vit_b_16,kshot_3,seed_789,False,False,False,,42.022538552787665,0.3951103479335079,123.74784708023071
vit_b_16,kshot_3,seed_999,False,False,False,,40.71767497034401,0.37930541022307857,121.4833254814148
vit_b_16,kshot_5,seed_123,False,False,False,,55.195729537366546,0.525517805391713,168.9584608078003
vit_b_16,kshot_5,seed_42,False,False,False,,54.768683274021356,0.5175255108943903,172.81369757652283
vit_b_16,kshot_5,seed_456,False,False,False,,54.555160142348754,0.5222267617591332,170.8035593032837
vit_b_16,kshot_5,seed_789,False,False,False,,54.021352313167256,0.5121386788333756,172.83943510055542
vit_b_16,kshot_5,seed_999,False,False,False,,55.30249110320285,0.5279273774359315,172.22445392608643
