tag,res,feat,clf,k_shot,acc_mean,acc_std,f1_mean,f1_std
tv-resnet50,224,cls,knn,5,53.259786476868314,0.6052961295642779,0.5196885867405058,0.0038595155546067815
tv-resnet50,224,cls,lp,5,42.854092526690394,1.0349082413165613,0.3863788319858602,0.010733044799212098
tv-resnet50,224,cls,labelprop,5,26.206405693950177,1.0010695765573432,0.21178402603736807,0.009949182524846206
tv-resnet50,224,cls,ptmap,5,49.28113879003559,0.6837928042405945,0.46977890724397886,0.005336081119646718
tv-resnet50,224,cls,proto,10,53.081850533807824,1.0392434020466323,0.5138450122738971,0.013469069789374956
tv-resnet50,224,cls,knn,10,67.2170818505338,1.0321511768995035,0.6551185941033124,0.011111356443664611
tv-resnet50,224,cls,lp,10,49.494661921708186,1.1712456900056498,0.444346166515387,0.009898159935057061
tv-resnet50,224,cls,labelprop,10,27.70106761565836,0.5790988073112585,0.21752786334222116,0.005973743703968409
tv-resnet50,224,cls,ptmap,10,53.822064056939496,0.8532023831169271,0.5080573854406253,0.00981399614939449
tv-resnet50,224_fliptta,cls,proto,1,27.285205897305538,0.3832351737617563,0.26523267633055453,0.004926775922982355
tv-resnet50,224_fliptta,cls,knn,1,27.285205897305538,0.3832351737617563,0.26523267633055453,0.004926775922982355
tv-resnet50,224_fliptta,cls,lp,1,26.939501779359432,0.5426316968675051,0.25522537657311695,0.007875419906476057
tv-resnet50,224_fliptta,cls,labelprop,1,20.416878495170312,1.4231924670560452,0.17844880055597767,0.013156712378278458
tv-resnet50,224_fliptta,cls,ptmap,1,28.520589730554143,0.5322926179809838,0.28082951861233674,0.005592910571289937
tv-resnet50,224_fliptta,cls,proto,3,42.25978647686833,0.9212470087193981,0.406542449314154,0.010019370875954975
tv-resnet50,224_fliptta,cls,knn,3,44.23487544483986,0.8506669805128028,0.4313784051202563,0.007142790443802581
tv-resnet50,224_fliptta,cls,lp,3,37.443653618030844,0.9323024633607194,0.3401939963183967,0.011733040309563725
tv-resnet50,224_fliptta,cls,labelprop,3,24.970344009489914,1.275207591933571,0.20317611018556678,0.01061017935804082
tv-resnet50,224_fliptta,cls,ptmap,3,43.97390272835113,0.5698273368671618,0.4215815374650765,0.00590416631234561
tv-resnet50,224_fliptta,cls,proto,5,48.370106761565836,1.0528035352085754,0.46784403283150455,0.009831074158322869
tv-resnet50,224_fliptta,cls,knn,5,54.46975088967971,0.5148471277966356,0.5321293602851914,0.004478688306823304
tv-resnet50,224_fliptta,cls,lp,5,42.754448398576514,0.7177680988172932,0.3868283991007275,0.007526745473997366
tv-resnet50,224_fliptta,cls,labelprop,5,26.0,0.8517167431545385,0.2093475166057826,0.009631547742809912
tv-resnet50,224_fliptta,cls,ptmap,5,49.74377224199288,0.8997297134838675,0.4750088340358207,0.008051903188207294
tv-resnet50,224_fliptta,cls,proto,10,53.822064056939496,0.9659807873209131,0.5199368894115652,0.01023460535295916
tv-resnet50,224_fliptta,cls,knn,10,68.1423487544484,0.8826770674976508,0.664096282732456,0.010142438712397365
tv-resnet50,224_fliptta,cls,lp,10,49.295373665480426,1.0623833826075615,0.44224522065744665,0.009335625808922072
tv-resnet50,224_fliptta,cls,labelprop,10,27.387900355871885,0.43117811333411965,0.2143123570389099,0.0010334320863867007
tv-resnet50,224_fliptta,cls,ptmap,10,54.120996441281136,0.9959327629729108,0.5108084756733986,0.009359303367635637
tv-resnet50,448,cls,proto,1,27.661413319776308,0.7266576054644595,0.27127375336721565,0.008058024263937636
tv-resnet50,448,cls,knn,1,27.661413319776308,0.7266576054644595,0.27127375336721565,0.008058024263937636
tv-resnet50,448,cls,lp,1,25.221148957803763,0.9628224177731437,0.24406724158686907,0.0075702648272882945
tv-resnet50,448,cls,labelprop,1,18.998474834773766,0.6452228068310432,0.15975981957849542,0.00558003417508455
tv-resnet50,448,cls,ptmap,1,28.205388917132687,0.7548326752359426,0.2751884635819276,0.00790907741960179
tv-resnet50,448,cls,proto,3,39.08659549228944,0.8906676997438434,0.37413183403222783,0.008220244988300363
tv-resnet50,448,cls,knn,3,44.44839857651246,0.719241841217194,0.43504743137787694,0.00593356701747805
tv-resnet50,448,cls,lp,3,30.990510083036774,0.5692868867275351,0.27448256268581633,0.005163793785249412
tv-resnet50,448,cls,labelprop,3,20.640569395017792,1.0264571945359895,0.15754972319739302,0.00901889007465354
tv-resnet50,448,cls,ptmap,3,39.59667852906287,0.22330783626354223,0.3724160919349523,0.0019169558833224138
tv-resnet50,448,cls,proto,5,43.08185053380783,0.964012208166054,0.41249144625450473,0.009499937776548796
tv-resnet50,448,cls,knn,5,54.87544483985765,0.4225744514960079,0.5367326801115739,0.0036406002295131376
tv-resnet50,448,cls,lp,5,35.35231316725979,0.3159052102657945,0.3085545028513358,0.0038866258027439315
tv-resnet50,448,cls,labelprop,5,22.476868327402137,1.0155139590152862,0.1697860878987385,0.010036673622232506
tv-resnet50,448,cls,ptmap,5,43.22419928825623,0.6207899196710537,0.3988690746366829,0.005717352869434508
tv-resnet50,448,cls,proto,10,46.54804270462633,0.8146279816554863,0.442301926091497,0.009853911087298344
tv-resnet50,448,cls,knn,10,68.18505338078292,0.5997259625036552,0.6670059557992968,0.005817069401829239
tv-resnet50,448,cls,lp,10,41.70818505338078,1.0264914663242697,0.3528578226880006,0.008802272898844813
tv-resnet50,448,cls,labelprop,10,22.889679715302492,1.1852190152806994,0.16504276928016698,0.010912422503306707
tv-resnet50,448,cls,ptmap,10,45.879003558718864,1.1798642439915792,0.41262262996663235,0.01336933404451343
