tag,res,feat,clf,k_shot,seed,acc,macro_f1
vitb16-official,448,cls,knn,5,999,59.7508896797153,0.5861137699675935
vitb16-official,448,cls,lp,5,42,52.170818505338076,0.48364004055816684
vitb16-official,448,cls,lp,5,123,51.56583629893239,0.4795878267230163
vitb16-official,448,cls,lp,5,456,51.63701067615658,0.4809415889825517
vitb16-official,448,cls,lp,5,789,50.99644128113879,0.47135089711330813
vitb16-official,448,cls,lp,5,999,53.736654804270465,0.5004475193757297
vitb16-official,448,cls,labelprop,5,42,27.18861209964413,0.2297056674712413
vitb16-official,448,cls,labelprop,5,123,30.106761565836297,0.2593720877796622
vitb16-official,448,cls,labelprop,5,456,28.647686832740217,0.24369709886568577
vitb16-official,448,cls,labelprop,5,789,28.46975088967972,0.23130289082174246
vitb16-official,448,cls,labelprop,5,999,29.466192170818506,0.24877392030415
vitb16-official,448,cls,ptmap,5,42,59.430604982206404,0.5749422007190487
vitb16-official,448,cls,ptmap,5,123,58.57651245551602,0.5687855800878818
vitb16-official,448,cls,ptmap,5,456,58.75444839857651,0.5725680451942715
vitb16-official,448,cls,ptmap,5,789,60.6405693950178,0.588598401504409
vitb16-official,448,cls,ptmap,5,999,59.537366548042705,0.5814992501762807
vitb16-official,448,cls,proto,10,42,62.84697508896797,0.6158755852339692
vitb16-official,448,cls,proto,10,123,63.41637010676157,0.6179747968232814
vitb16-official,448,cls,proto,10,456,65.69395017793595,0.6469770285928853
vitb16-official,448,cls,proto,10,789,64.91103202846975,0.6377209235069818
vitb16-official,448,cls,proto,10,999,62.989323843416365,0.6234300519102696
vitb16-official,448,cls,knn,10,42,72.66903914590748,0.7127138991541336
vitb16-official,448,cls,knn,10,123,71.95729537366547,0.7058666765281796
vitb16-official,448,cls,knn,10,456,73.02491103202847,0.7134902876529421
vitb16-official,448,cls,knn,10,789,72.31316725978648,0.7092794107309933
vitb16-official,448,cls,knn,10,999,74.16370106761566,0.7302303620293881
vitb16-official,448,cls,lp,10,42,59.430604982206404,0.5520039250854433
vitb16-official,448,cls,lp,10,123,59.71530249110321,0.5578855611466975
vitb16-official,448,cls,lp,10,456,58.79003558718862,0.5447997107255166
vitb16-official,448,cls,lp,10,789,59.7864768683274,0.5623215612189644
vitb16-official,448,cls,lp,10,999,57.580071174377224,0.53313425692589
vitb16-official,448,cls,labelprop,10,42,30.462633451957295,0.24712901028755424
vitb16-official,448,cls,labelprop,10,123,29.537366548042705,0.2470537251758125
vitb16-official,448,cls,labelprop,10,456,32.028469750889684,0.26658549230692163
vitb16-official,448,cls,labelprop,10,789,28.04270462633452,0.23011559275592233
vitb16-official,448,cls,labelprop,10,999,29.39501779359431,0.24497731700862727
vitb16-official,448,cls,ptmap,10,42,64.62633451957296,0.6249078259911419
vitb16-official,448,cls,ptmap,10,123,62.84697508896797,0.6075949699824517
vitb16-official,448,cls,ptmap,10,456,65.48042704626334,0.6343775191849297
vitb16-official,448,cls,ptmap,10,789,65.12455516014235,0.6342961849398943
vitb16-official,448,cls,ptmap,10,999,64.76868327402136,0.6326888907849761
vitb16-official,448_fliptta,cls,proto,1,42,32.435180477885105,0.3095753419973318
vitb16-official,448_fliptta,cls,proto,1,123,32.51143873919675,0.3196015492363352
vitb16-official,448_fliptta,cls,proto,1,456,32.33350279613625,0.3147408209764821
vitb16-official,448_fliptta,cls,proto,1,789,33.909506863243514,0.329784370117744
vitb16-official,448_fliptta,cls,proto,1,999,33.47737671581088,0.32837460521220735
vitb16-official,448_fliptta,cls,knn,1,42,32.435180477885105,0.3095753419973318
vitb16-official,448_fliptta,cls,knn,1,123,32.51143873919675,0.3196015492363352
vitb16-official,448_fliptta,cls,knn,1,456,32.33350279613625,0.3147408209764821
vitb16-official,448_fliptta,cls,knn,1,789,33.909506863243514,0.329784370117744
vitb16-official,448_fliptta,cls,knn,1,999,33.47737671581088,0.32837460521220735
vitb16-official,448_fliptta,cls,lp,1,42,32.943568886629386,0.3127599849676427
vitb16-official,448_fliptta,cls,lp,1,123,34.417895271987796,0.33334580578040984
vitb16-official,448_fliptta,cls,lp,1,456,33.985765124555165,0.3245641869677008
vitb16-official,448_fliptta,cls,lp,1,789,33.83324860193188,0.3214986917655765
vitb16-official,448_fliptta,cls,lp,1,999,34.36705643111337,0.3315162898744411
vitb16-official,448_fliptta,cls,labelprop,1,42,21.63192679206914,0.18265579720175004
vitb16-official,448_fliptta,cls,labelprop,1,123,22.648703609557703,0.1996243210876957
vitb16-official,448_fliptta,cls,labelprop,1,456,22.547025927808846,0.19526977345467625
vitb16-official,448_fliptta,cls,labelprop,1,789,22.623284189120486,0.1953662015299652
vitb16-official,448_fliptta,cls,labelprop,1,999,23.614641586171835,0.2087542068438152
vitb16-official,448_fliptta,cls,ptmap,1,42,35.63802745297407,0.350385462278049
vitb16-official,448_fliptta,cls,ptmap,1,123,36.70564311133706,0.36205079516416705
vitb16-official,448_fliptta,cls,ptmap,1,456,36.22267412303,0.3524010688807984
vitb16-official,448_fliptta,cls,ptmap,1,789,35.231316725978644,0.34672462463780734
vitb16-official,448_fliptta,cls,ptmap,1,999,35.56176919166243,0.350562199453891
vitb16-official,448_fliptta,cls,proto,3,42,51.27520759193357,0.49734306584331534
vitb16-official,448_fliptta,cls,proto,3,123,51.27520759193357,0.5015017783087471
vitb16-official,448_fliptta,cls,proto,3,456,50.80071174377224,0.49576390705181034
vitb16-official,448_fliptta,cls,proto,3,789,51.36417556346382,0.5028010048533862
vitb16-official,448_fliptta,cls,proto,3,999,51.18623962040332,0.49752742260340566
vitb16-official,448_fliptta,cls,knn,3,42,51.393831553973904,0.5066021393133292
vitb16-official,448_fliptta,cls,knn,3,123,51.18623962040332,0.502006733400325
vitb16-official,448_fliptta,cls,knn,3,456,51.00830367734282,0.5014881551183319
vitb16-official,448_fliptta,cls,knn,3,789,51.27520759193357,0.501284167096766
vitb16-official,448_fliptta,cls,knn,3,999,50.38552787663107,0.4950649021898906
vitb16-official,448_fliptta,cls,lp,3,42,45.729537366548044,0.4301197507171159
vitb16-official,448_fliptta,cls,lp,3,123,47.06405693950178,0.43715247184267014
vitb16-official,448_fliptta,cls,lp,3,456,46.29300118623962,0.4351024716390562
vitb16-official,448_fliptta,cls,lp,3,789,45.492289442467374,0.4237208086930362
vitb16-official,448_fliptta,cls,lp,3,999,45.55160142348754,0.4295498466614181
vitb16-official,448_fliptta,cls,labelprop,3,42,25.059311981020166,0.20884106000573188
vitb16-official,448_fliptta,cls,labelprop,3,123,27.37247924080664,0.23159387152950858
vitb16-official,448_fliptta,cls,labelprop,3,456,28.054567022538553,0.2389542838616884
vitb16-official,448_fliptta,cls,labelprop,3,789,28.944246737841045,0.24247608522434405
vitb16-official,448_fliptta,cls,labelprop,3,999,26.3938315539739,0.21420652295931633
